一 e
暖 degu
暖 dex
暖 fegu
暖 fex
暗 dld
曆 lhhd
曬 dla
曬 dllb
曲 fo
曲 ror
曾 bo
曾 bqd
最 deru
最 dru
望 fek
望 fuk
期 kbu
期 ku
本 tej
李 tzj
材 tjp
材 tup
杖 tq
杖 tqv
杖 tqx
杖 tqxv
杜 tye
束 jcs
束 vsn
板 mooo
板 tlu
枯 tjo
架 dot
柏 tpd
查 tde
查 te
查 tme
柱 tak
柴 zft
格 tpo
桃 tra
桃 trbb
案 ngt
桌 zdt
梅 tm
梅 tmv
梅 tvom
梨 hdt
梨 hrt
梯 tbqp
梯 ttp
棉 tpdn
棉 tpj
棋 tkb
森 ttt
椅 tdto
椅 tvo
楊 tdem
楊 tdvm
楊 tep
楚 ttfb
楚 ttyz
楚 tz
業 febl
業 febt
業 fee
業 ferl
業 fert
業 fr
業 fsn
極 tk
極 tkoe
極 tpu
極 trn
極 twoe
榮 ffnt
榮 ft
榮 rnt
榮 snt
榮 sntv
槍 tado
槍 tbp
樂 fsa
樂 pdwt
樂 rn
樂 wpdt
樓 tg
樓 tmg
標 tcrs
標 trs
標 ts
模 tdv
模 trdd
模 tv
樣 tbh
樣 tbku
樣 tbkw
樣 tu
橋 tedo
橋 tgi
橋 tgno
橋 tgnr
橋 tgo
橋 tpdo
橙 tbe
橙 tjd
機 g
機 trl
機 twb
機 twwb
橫 tka
橫 treb
此 zfl
此 zl
武 eaxz
武 we
歲 eca
歲 ecav
歲 zaqs
歲 zs
歷 ldx
歷 ldy
歷 lhhz
歹 da
段 eru
段 eu
殼 yneu
殼 ynr
殼 ynru
氏 xx
永 un
求 ajw
求 na
江 wie
池 wal
汪 wke
決 bjn
決 bjnv
決 wjn
汽 wkl
汽 wklv
汽 wkz
汽 wz
沈 wkl
沈 wneq
沈 wni
沈 wnii
沈 wnmq
沈 wnr
沈 wnrv
沙 wsp
油 wiq
治 wuo
沿 wbo
沿 wro
泡 wnl
泡 wnol
泥 wcf
注 iak
注 wak
洗 wsr
洞 wneo
派 wlk
涼 blos
涼 bls
涼 wlos
涼 wls
涼 wlsv
涼 wsv
涼 wsvv
淘 wni
淘 wnwu
淚 wfad
淚 wmo
淡 wff
淨 bne
淨 wee
淨 wne
淨 wnev
深 wnbt
深 wnn
深 wnrt
